,ret
2017-05-19,1.0014765343679954e-06
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,1.2650257392721187e-06
2017-05-23,6.325120693873032e-07
2017-05-24,0.0
2017-05-25,-7.906338648222544e-07
2017-05-26,1.05418440599081e-06
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,-1.5812978293450186e-07
2017-05-30,-1.054183461524083e-06
2017-05-31,0.0
2017-06-01,1.1596045559336687e-06
2017-06-02,-5.270916751953791e-07
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,1.4758559425676054e-06
2017-06-06,2.6354940207973243e-07
2017-06-07,-1.054197330541129e-07
2017-06-08,-2.1083185919312797e-07
2017-06-09,5.270225411635465e-08
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,-5.270911750399065e-07
2017-06-13,-2.1083200363314347e-07
2017-06-14,6.325114025873546e-07
2017-06-15,1.5812202880383097e-07
2017-06-16,-4.2167139202575754e-07
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,7.379309689969915e-07
2017-06-20,-7.379304245436202e-07
2017-06-21,4.216715698834861e-07
2017-06-22,-4.743812695995331e-07
2017-06-23,5.27099026648159e-08
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,2.1083959955703335e-07
2017-06-27,5.270988867600579e-08
2017-06-28,1.0014725753126896e-06
2017-06-29,-3.1625136998059133e-07
2017-06-30,1.4758529087721683e-06
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,-3.162510032739263e-07
2017-07-04,-2.6354894366864556e-07
2017-07-05,5.270980252269908e-08
2017-07-06,4.7438056949289376e-07
2017-07-07,-1.7393996826209346e-06
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,-1.3177314049928057e-06
2017-07-11,6.852215386210503e-07
2017-07-12,1.2650223386589943e-06
2017-07-13,4.74380869475155e-07
2017-07-14,-6.325100690984797e-07
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,-1.6866920414804198e-06
2017-07-18,5.2709930420391515e-08
2017-07-19,5.270916474398035e-07
2017-07-20,-5.671504204052269e-07
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,-3.958010674764978e-08
2017-09-14,5.3411815414960984e-08
2017-09-15,-1.6024306692674628e-07
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,5.341487281373958e-07
2017-09-19,-3.204936431799865e-07
2017-09-20,-3.9633515913628514e-08
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,-3.9793764394779885e-08
2017-10-19,-1.0683125717392272e-07
2017-10-20,-1.6024308824302835e-07
2017-10-21,0.0
2017-10-22,0.0
